"1443458X";JOURNAL OF RESEARCH AND PRACTICE IN INFORMATION TECHNOLOGY;nulo
"12903868";RECHERCHE OPÉRATIONNELLE;B1
"14730502";TRANSFUSION AND APHERESIS SCIENCE;B1
"01655515";JOURNAL OF INFORMATION SCIENCE;A1
ACE;International Conference on Advances in Computer Entertainment Technology;B1
"10844309";ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS;A4
ASIACSS;ACM on Asia Conference on Computer and Communications Security;A1
ROBIO;IEEE International Conference on Robotics and Biomimetics;A3
ACMIDC;ACM Interaction Design and Children;A2
FDG;Foundations of Digital Games;A3
ECIR;European Conference on Information Retrieval;A2
"20329806";SIGNATA: ANNALES DES SÉMIOTIQUES;nulo
"15730409";JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS (DORDRECHT. ONLINE);A2
DASIP;Conference on Design and Architectures for Signal and Image Processing;B2
"09598324";MICROELECTRONICS JOURNAL;A4
"00374466";SIBERIAN MATHEMATICAL JOURNAL;A4
"1982176X";REVISTA CONEXÕES - CIÊNCIA E TECNOLOGIA;nulo
SOSP;ACM Symposium on Operating Systems Principles;A1
"01989715";COMPUTERS, ENVIRONMENT AND URBAN SYSTEMS;A1
ECTEL;European Conference on Technology Enhanced Learning;A4
EC;ACM conference on Economics and Computation;A1
"21527385";APPLIED MATHEMATICS;nulo
SIMEC;Simpósio de Mecânica Computacional;B4
"23498870";EUROPEAN JOURNAL OF BIOMEDICAL AND PHARMACEUTICAL SCIENCES;nulo
EWSN;European Conference on Wireless Sensor Networks;B1
VLDB;International Conference on Very Large Data Bases;A1
SOSE;IEEE International Symposium on Service-Oriented System Engineering;A3
"15177076";MATÉRIA (UFRJ);B3
CiE;Computability in Europe;B1
ICINCO;International Conference on Informatics in Control, Automation and Robotics;A4
LINKDEM;Workshop on Linked Democracy : Artificial Intelligence for Democratic Innovation;B4
NETWORKS;International Telecommunications Network Strategy and Planning Symposium;B1
SIMPAR;IEEE International Conference on Simulation, Modeling, and Programming for Autonomous Robots;B3
"10597794";HUMAN MUTATION;A2
"18743919";JOURNAL OF PROTEOMICS (PRINT);A1
"18645909";EVOLUTIONARY INTELLIGENCE (PRINT);A3
CSMC;Conference on Computer Simulation of Musical Creativity;B3
LIDTA;Workshop on Learning with Imbalanced Domains: Theory and Applications;B4
IEEEICCC;IEEE International Conference on Cognitive Computing;A4
"20749007";INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY AND COMPUTER SCIENCE;nulo
MIDDLEWARE;International Middleware Conference;A3
"20553714";THE IFCOLOG JOURNAL OF LOGICS AND THEIR APPLICATIONS;nulo
IJCNN;IEEE International Joint Conference on Neural Networks;A2
"16790375";SEMINA. CIÊNCIAS EXATAS E TECNOLÓGICAS (ONLINE);nulo
EVOCOP;European Conference on Evolutionary Computation in Combinatorial Optimization;B1
"16782089";CONTEXTUS (FORTALEZA);nulo
ENASE;International Conference on Evaluation of Novel Approaches to Software Engineering;B2
HCIST;International Conference on Health and Social Care Information Systems and Technologies;B4
HAIS;International Conference on Hybrid Artificial Intelligence Systems;B2
ICWNWC;International Conference on Wireless Networks;B1
"09268782";DISTRIBUTED AND PARALLEL DATABASES;A4
WTTM;Workshop on the Theory of Transactional Memory;B4
SIGGRAPH Asia;ACM International Conference On Computer Graphics & Interactive Techniques / Asia;A1
ICITST;International Conference for Internet Technology and Secured Transactions;B1
ESELAW;Workshop Latinoamericano de Ingeniería de Software Experimental;B4
"16768361";JAVA MAGAZINE;nulo
"2192113X";JOURNAL OF CLOUD COMPUTING: ADVANCES, SYSTEMS AND APPLICATIONS;A2
"07407459";IEEE SOFTWARE;A2
"19835604";SISTEMAS DE INFORMAÇÃO (MACAÉ);nulo
COG;IEEE Conference on Games;A3
ISORC;IEEE International Symposium on RealTime Distributed Computing;A3
ICIAR;International Conference on Image Analysis and Recognition;B1
"19846746";VERITAS ONLINE;nulo
"00221147";JOURNAL OF FOOD SCIENCE;A3
CL4LC;Workshop on Computational Linguistics for Linguistic Complexity;B4
WAlgProg;Workshop de Ensino em Pensamento Computacional, Algoritmos e Programação;B4
EIS;SPIE Human Vision and Electronic Imaging;B1
VR;IEEE Virtual Reality Conference;A3
IDEAS;International Database Engineering and Applications Symposium;A4
COGNITIVE-IARIA;IARIA International Conference on Advanced Cognitive Technologies and Applications;B3
"19424787";WILEY INTERDISCIPLINARY REVIEWS: DATA MINING AND KNOWLEDGE DISCOVERY;A1
"07533322";BIOMEDICINE & PHARMACOTHERAPY;A2
VECPAR;International Meeting on High Performance Computing for Computational Science;B4
"0924669X";APPLIED INTELLIGENCE (BOSTON);A3
"17557682";INTERNATIONAL ARCHIVES OF MEDICINE;nulo
DEA;International Conference on Data Envelopment Analysis;B4
"23170026";CADERNOS DE PROSPECÇÃO;nulo
GECCO;Genetic and Evolutionary Computation Conference;A2
ICSEA-IARIA;IARIA International Conference on Software Engineering Advances;B4
IHM;Conférence Francophone sur l’Interaction Homme-Machine;B3
ICSLE;International Conference on Smart Learning Environments;B3
GEM;IEEE Games, Entertainment, Media Conference;B1
"15741702";MULTIAGENT AND GRID SYSTEMS;B1
PE-WASUN;ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks;B4
PPSN;International Conference on Parallel Problem Solving from Nature;A4
